[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:33] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:34] | <WARNING>    | Couldn't open './input.txt'.
